imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<012701d4b72b$bd114790$3733d6b0$@olddog.co.uk>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham autolearn_force=no",False,3.8,False,0.49999999999999784
2,<014001d4b737$7e20a560$7a61f020$@olddog.co.uk>,NO,-2.598,,"No, score=-2.598 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-0.7, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,3.8,False,0.49999999999999784
3,<027301d4b7e6$eac04fe0$c040efa0$@olddog.co.uk>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham autolearn_force=no",False,3.8,False,0.49999999999999784
4,<063101d4b9ab$d2e00570$78a01050$@olddog.co.uk>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham autolearn_force=no",False,3.8,False,0.49999999999999784
5,<69306484-d6b8-86b7-022c-97c09b426af7@pi.nu>,NO,0,,"No, score=0 tagged_above=-999 required=5 tests=[BAYES_40=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.49999999999999784
6,<031e01d4bed4$b9fee160$2dfca420$@olddog.co.uk>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,3.8,False,0.49999999999999784
7,<010601d4c192$a7a60b90$f6f222b0$@olddog.co.uk>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham autolearn_force=no",False,3.8,False,0.49999999999999784
8,<00fc01d4c245$1ee3bb00$5cab3100$@olddog.co.uk>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham autolearn_force=no",False,3.8,False,0.15960297761042466
9,<1850484173.14505.1549929397474.JavaMail.nobody@jva2tc221.webex.com>,NO,-4.199,,"No, score=-4.199 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-2.3, SPF_PASS=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.15960297761042466
10,<021901d4c301$dceb2a90$96c17fb0$@olddog.co.uk>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7] autolearn=ham autolearn_force=no",False,3.8,False,0.03481168340193519
11,<168e327b1c0.27ce.9b4188e636579690ba6c69f2c8a0f1fd@labn.net>,NO,-1.121,,"No, score=-1.121 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, SPF_NEUTRAL=0.779] autolearn=no autolearn_force=no",False,-2.0,False,0.0557880138560562
12,<00da01d4c386$f8316e10$e8944a30$@olddog.co.uk>,NO,-2.6,,"No, score=-2.6 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7, RCVD_IN_MSPIKE_H2=-0.001, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,3.8,False,0.49999999999999784
13,<00f901d4c39b$05da8060$118f8120$@olddog.co.uk>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,3.8,False,0.49999999999999784
14,<eb4ee344-8b69-c2f4-b32f-06ce6d5146f1@pi.nu>,NO,-1.899,,"No, score=-1.899 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,-2.0,False,0.49999999999999784
15,<011f01d4c3ac$c9404290$5bc0c7b0$@olddog.co.uk>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,3.8,False,0.49999999999999784
16,<041301d4c54c$ac810530$05830f90$@olddog.co.uk>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-1.9, RCVD_IN_DNSWL_LOW=-0.7, URIBL_BLOCKED=0.001] autolearn=ham autolearn_force=no",False,3.8,False,0.03481168340193519
