imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<69DACCFC-405E-44D1-8C61-6342DEB943AB@netlab.nec.de>,,-2.6 (--),,,False,-2.0,False,0.49999999999999784
2,<D4AC9ED5-32CF-4D40-8C16-8AC3C4EB07D1@netlab.nec.de>,,0.0 (/),,,False,-2.0,False,0.22737794128918348
3,<Pine.LNX.4.61.0606120513140.24393@internaut.com>,,0.1 (/),,,False,3.8,False,0.006803068167124697
4,<448DAC60.5030002@iprg.nokia.com>,,0.0 (/),,,False,-1.2,False,0.007090971233707393
5,<448EE1B6.1080100@isi.edu>,,0.0 (/),,,False,0.2,False,4.761242712962461e-05
6,<20060613163633.GB13127@grc.nasa.gov>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
7,<448EF0D4.6090404@isi.edu>,,0.0 (/),,,False,-0.8,False,0.0002952619121819641
8,<C4A56305-B987-4BA0-B332-0AD7822B164B@netlab.nec.de>,,0.0 (/),,,False,-2.0,False,0.22737794128918348
9,<1150299739.4774.170.camel@lap10-c703.uibk.ac.at>,,0.0 (/),,,False,-1.0,False,0.005282912956724096
10,,,0.0 (/),,,False,-2.0,False,0.16605644023286953
11,<CE1D2715-64F2-497E-85EC-C5E82B2BDEDA@netlab.nec.de>,,0.1 (/),,,False,-2.0,False,0.07970566712219727
12,<0b6401c6a545$01b89bc0$d31adb84@china.huawei.com>,,0.0 (/),,,False,-1.0,False,0.0009186453398660484
13,<20060712133556.GB11317@grc.nasa.gov>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
14,<0f4d01c6a5c1$a0fa30a0$d31adb84@china.huawei.com>,,0.0 (/),,,False,-1.0,False,0.0030690715499257244
15,<20060720181255.7BE1243F926@lawyers.icir.org>,,0.1 (/),,,False,-2.0,False,0.009759050761491488
16,<012b01c6ac6a$ab4fea90$020a010a@kfallmobl>,,0.0 (/),,,False,-2.0,False,0.006803068167124697
17,<20060721130619.GA12398@grc.nasa.gov>,,0.0 (/),,,False,-1.0,False,0.15960297761042466
18,<20060728114353.275FB444296@lawyers.icir.org>,,0.1 (/),,,False,-2.0,False,0.0008279805622113186
19,<1154088364.44c9fdac35be3@web-mail2.uibk.ac.at>,,0.0 (/),,,False,0.3,False,0.49999999999999784
20,<002301c6b23f$a3ef4a90$0300a8c0@kfallmobl>,,0.0 (/),,,False,-2.0,False,0.03481168340193519
21,<1154089183.44ca00df115c3@web-mail2.uibk.ac.at>,,0.0 (/),,,False,0.3,False,0.15960297761042466
22,<20060728125608.670AF444391@lawyers.icir.org>,,0.1 (/),,,False,-2.0,False,0.04913725843951634
23,<20060728185007.GG7604@grc.nasa.gov>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
24,<1154120482.44ca7b22ee3bf@web-mail2.uibk.ac.at>,,0.0 (/),,,False,0.3,False,0.522237809964356
25,<44CAA4CE.9050306@isi.edu>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
26,<20060729011430.55D6C4448FF@lawyers.icir.org>,,0.1 (/),,,False,-2.0,False,0.001034761512159501
27,<44CAB876.8000405@isi.edu>,,0.0 (/),,,False,3.2,False,4.762177675449031e-05
28,<3947AF0D-C12A-4052-B790-EE4F74A017D5@netlab.nec.de>,,0.1 (/),,,False,-2.0,False,0.009900994024796899
29,<44CE19D8.9080501@erg.abdn.ac.uk>,,-2.5 (--),,No,False,-0.4,False,0.49999999999999784
30,<16a401c6b5b9$efe7c940$0400a8c0@china.huawei.com>,,0.0 (/),,,False,-1.0,False,0.49999999999999784
31,<847C30FB-FC4D-4412-8F54-785C9D038C57@isi.edu>,,0.0 (/),,,False,-0.8,False,0.009900994024796899
32,<94176DAD-C2FC-4018-8A15-005606394435@isi.edu>,,0.0 (/),,,False,-0.8,False,0.07970566712219727
33,<44D0B41F.2010605@isi.edu>,,0.0 (/),,,False,3.2,False,4.761242712962461e-05
34,<44D0B465.7060902@isi.edu>,,0.0 (/),,,False,3.2,False,0.0019476159676500503
35,<44D0BFC3.7040504@erg.abdn.ac.uk>,,-2.8 (--),,No,False,-0.4,False,0.49999999999999784
36,<408642C4-8B8E-4766-A42B-B90D8E508E38@ISI.EDU>,,0.0 (/),,,False,-0.8,False,0.07970566712219727
37,<5.2.1.1.2.20060802190628.02975a28@pop3.jungle.bt.co.uk>,,0.1 (/),,,False,-2.0,False,0.49999999999999784
38,<5.2.1.1.2.20060802212808.018d68a0@pop3.jungle.bt.co.uk>,,-2.6 (--),,,False,-2.0,False,0.49999999999999784
39,<98BAB2D5-E31B-4240-BCE8-D4A3CC56FF0F@netlab.nec.de>,,0.1 (/),,,False,-2.0,False,0.22737794128918348
40,<5.2.1.1.2.20060803102815.02ca0c68@pop3.jungle.bt.co.uk>,,-2.6 (--),,,False,-2.0,False,0.49999999999999784
41,<44D23573.4070006@isi.edu>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
42,<1157097623.3192.34.camel@lap10-c703.uibk.ac.at>,,0.0 (/),,,False,0.2,False,0.49999999999999784
43,<44F83E74.1080603@isi.edu>,,0.0 (/),,,False,3.2,False,0.49999999999999784
44,<1157121036.3192.148.camel@lap10-c703.uibk.ac.at>,,0.0 (/),,,False,0.2,False,0.49999999999999784
45,<44F84AD5.7070307@isi.edu>,,0.0 (/),,,False,3.2,False,0.49999999999999784
46,<517e86fb0609010739w1a9c8c38wcf19159818e35f0@mail.gmail.com>,,-2.5 (--),,,False,0.4,False,0.49999999999999784
47,<1157131227.3192.220.camel@lap10-c703.uibk.ac.at>,,0.0 (/),,,False,0.2,False,0.49999999999999784
48,<44F8780D.9060503@isi.edu>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
49,<1157356740.3197.57.camel@lap10-c703.uibk.ac.at>,,0.0 (/),,,False,0.2,False,0.49999999999999784
50,<44FC0790.6010200@erg.abdn.ac.uk>,,-2.8 (--),,No,False,-0.4,False,0.49999999999999784
51,<85C961BE-2B32-4A31-8235-49CCDCF1332D@lurchi.franken.de>,,0.0 (/),,,False,3.2,False,0.49999999999999784
52,<1157369310.3197.140.camel@lap10-c703.uibk.ac.at>,,0.0 (/),,,False,0.2,False,0.49999999999999784
53,<44FC2484.50201@erg.abdn.ac.uk>,,-2.8 (--),,No,False,-0.4,False,0.49999999999999784
54,<44FC2687.1030302@erg.abdn.ac.uk>,,-2.8 (--),,No,False,-0.4,False,0.49999999999999784
55,<EE4E54BA-BCEB-4DD7-86AB-B2A44A24ACD0@lurchi.franken.de>,,0.0 (/),,,False,3.2,False,0.49999999999999784
56,<44FC2CA7.90602@erg.abdn.ac.uk>,,-2.8 (--),,No,False,-0.4,False,0.49999999999999784
57,<57784F3E-B93A-4D49-AEBA-F1124D952302@lurchi.franken.de>,,0.0 (/),,,False,3.2,False,0.49999999999999784
58,<44FC4DF4.8090004@isi.edu>,,0.0 (/),,,False,3.2,False,0.49999999999999784
59,<1157389064.3291.26.camel@lap10-c703.uibk.ac.at>,,0.0 (/),,,False,0.2,False,0.49999999999999784
60,<1157390125.3291.43.camel@lap10-c703.uibk.ac.at>,,0.0 (/),,,False,0.2,False,0.49999999999999784
61,<44FC6144.7000701@erg.abdn.ac.uk>,,-2.8 (--),,No,False,-0.4,False,0.49999999999999784
62,<4E862E2A-DF85-47C1-98A1-991F3CB58B27@lurchi.franken.de>,,0.0 (/),,,False,3.2,False,0.49999999999999784
63,<44FC860F.9090008@erg.abdn.ac.uk>,,-2.8 (--),,No,False,-0.4,False,0.49999999999999784
64,<7B1D0EF8-91DE-4D6A-AE4F-51776BF53F4D@lurchi.franken.de>,,0.0 (/),,,False,3.2,False,0.49999999999999784
65,<44FCADA1.5040202@isi.edu>,,0.0 (/),,,False,3.2,False,0.49999999999999784
66,<45186152-9613-4C22-92FF-53BCD2B22337@lurchi.franken.de>,,0.0 (/),,,False,3.2,False,0.49999999999999784
67,<44FCC3D5.4020403@isi.edu>,,0.0 (/),,,False,3.2,False,0.49999999999999784
68,<FC8103E1-1833-46CE-BF31-925890F0BEFB@lurchi.franken.de>,,0.0 (/),,,False,3.2,False,0.49999999999999784
69,<1157440551.3195.3.camel@lap10-c703.uibk.ac.at>,,0.0 (/),,,False,0.2,False,0.49999999999999784
70,<44FD5A2F.9020601@cisco.com>,,0.0 (/),,,False,0.6,False,0.49999999999999784
71,<44FD5A83.7020702@cisco.com>,,0.0 (/),,,False,0.6,False,0.49999999999999784
72,<C12359A8.5D13%gorry@erg.abdn.ac.uk>,,-2.8 (--),,No,False,-2.0,False,0.15960297761042466
73,<C12359D6.5D13%gorry@erg.abdn.ac.uk>,,-2.8 (--),,No,False,-2.0,False,0.12827209284225552
