imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20120113182358.143B621F8579@ietfa.amsl.com>,,,,,False,-0.8,False,0.49999999999999784
2,<4F1079FB.8020509@cs.tcd.ie>,NO,-101.41,,"No, score=-101.41 tagged_above=-999 required=5 tests=[AWL=-1.030, BAYES_00=-2.599, TVD_SPACE_RATIO=2.219, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
3,,NO,-4.073,,"No, score=-4.073 tagged_above=-999 required=5 tests=[AWL=-0.074, BAYES_50=0.001, RCVD_IN_DNSWL_MED=-4]",False,0.0,False,0.866046589577612
4,<4F142A75.1020605@cs.tcd.ie>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.6507071206102908
5,<alpine.DEB.1.10.1201161508150.30460@xs8.xs4all.nl>,NO,0.605,,"No, score=0.605 tagged_above=-999 required=5 tests=[AWL=1.109, BAYES_00=-2.599, HELO_EQ_NL=0.55, HOST_EQ_NL=1.545]",False,-1.0,False,0.6507071206102908
6,<4F1431B5.5030402@net.in.tum.de>,NO,-0.957,,"No, score=-0.957 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_DE=0.35, MISSING_HEADERS=1.292]",False,-0.8,False,0.776311216650602
7,<CA+cU71=mNevkWxk2GcBVVYrAB6jDhQvF3Rmrnx3D3usf+xTMDw@mail.gmail.com>,NO,-2.847,,"No, score=-2.847 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, RCVD_IN_DNSWL_LOW=-1, SARE_RMML_Stock10=0.13]",False,-0.9,False,0.776311216650602
8,<4F145B11.9070407@net.in.tum.de>,NO,-2.249,,"No, score=-2.249 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_DE=0.35]",False,-2.0,False,0.49999999999999784
9,<CAMm+LwiqD46ahbrcLmv6=AsmK3SgWpy180Ry4_eSYeTCSewuRw@mail.gmail.com>,NO,-1.663,,"No, score=-1.663 tagged_above=-999 required=5 tests=[AWL=-1.691, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_BL_SPAMCOP_NET=1.96, RCVD_IN_DNSWL_LOW=-1, SARE_HTML_USL_OBFU=1.666]",False,0.1,False,0.49999999999999784
10,<CAMm+LwgQTappiKDcJa62-9ekvkADqFzwBc_oCEYqHTkk=PuTng@mail.gmail.com>,NO,0,,"No, score=x tagged_above=-999 required=5 tests=[]",False,0.1,False,0.49999999999999784
11,<CAMm+Lwh326uEotqr=R+h9b4_xfhG7SRChcKGZ=yCWyChoEF9kQ@mail.gmail.com>,NO,-1.988,,"No, score=-1.988 tagged_above=-999 required=5 tests=[AWL=-0.990, BAYES_50=0.001, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,0.1,False,0.49999999999999784
12,<CAMm+Lwg2K6CjDe7ifXAo2d6XegtZhC74rUqqSXTteidg=QTX4w@mail.gmail.com>,NO,-2.356,,"No, score=-2.356 tagged_above=-999 required=5 tests=[AWL=-0.424, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1, SARE_HTML_USL_OBFU=1.666]",False,0.1,False,0.49999999999999784
13,<EEB187E4-5F8F-4DFA-BC7F-0CE353C4410F@vpnc.org>,NO,-102.542,,"No, score=-102.542 tagged_above=-999 required=5 tests=[AWL=0.057, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
14,<CAMm+LwjPHYzvUhF7JSX=0q5yu9fmUNT_9CJDVbEnDg74Et2zKw@mail.gmail.com>,NO,-3.15,,"No, score=-3.15 tagged_above=-999 required=5 tests=[AWL=0.448, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,0.1,False,0.49999999999999784
15,<A6D4059D-38C5-40C4-9AA3-F5B016393292@bbn.com>,NO,-106.382,,"No, score=-106.382 tagged_above=-999 required=5 tests=[AWL=0.217, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,0.5,False,0.49999999999999784
16,<4F18EB54.7020805@fifthhorseman.net>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
17,<CAMm+LwjsLXg49V1ZGbYvuyn3uKTEcYo64bLcMndcSd=3F3wVUg@mail.gmail.com>,NO,-3.188,,"No, score=-3.188 tagged_above=-999 required=5 tests=[AWL=0.411, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,0.1,False,0.49999999999999784
18,<r422Ps-1068i-7E63CDFA81A94306815583AC285946E4@Bill-Frantzs-MacBook-Pro.local>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,3.8,False,0.49999999999999784
19,<CAMm+Lwin73buqrunn_AWm9qAHozqu9VRuf2fgSLNsZnX00+E-w@mail.gmail.com>,NO,-2.386,,"No, score=-2.386 tagged_above=-999 required=5 tests=[AWL=-0.454, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1, SARE_HTML_USL_OBFU=1.666]",False,0.1,False,0.49999999999999784
20,<alpine.DEB.1.10.1201200859400.4664@xs8.xs4all.nl>,NO,0.051,,"No, score=0.051 tagged_above=-999 required=5 tests=[AWL=0.555, BAYES_00=-2.599, HELO_EQ_NL=0.55, HOST_EQ_NL=1.545]",False,-1.0,False,0.49999999999999784
21,<67E9AEDA-3510-4E47-822D-FA5182BE8CFF@checkpoint.com>,NO,-10.496,,"No, score=-10.496 tagged_above=-999 required=5 tests=[AWL=0.103, BAYES_00=-2.599, RCVD_IN_DNSWL_HI=-8]",False,4.8,False,0.49999999999999784
22,<CAMm+Lwjpp2tn-YByTiTdKABRmygV3B7GpmDmLASzRAfcLMEewQ@mail.gmail.com>,NO,-4.187,,"No, score=-4.187 tagged_above=-999 required=5 tests=[AWL=1.411, BAYES_00=-2.599, GB_I_LETTER=-2, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,0.1,False,0.49999999999999784
23,<0027DCB6-D589-40F2-A9BE-1A23D80EC49D@checkpoint.com>,NO,-11.507,,"No, score=-11.507 tagged_above=-999 required=5 tests=[AWL=1.091, BAYES_00=-2.599, GB_I_LETTER=-2, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_HI=-8]",False,4.8,False,0.6191380569758939
24,<CAMm+Lwgm_26dTVweOKigi8VuqxfgEjSoGkQze_RGwRBa9UYC1g@mail.gmail.com>,NO,-3.301,,"No, score=-3.301 tagged_above=-999 required=5 tests=[AWL=0.297, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,2.5,False,0.49999999999999784
25,<alpine.DEB.1.10.1201201657520.7686@xs8.xs4all.nl>,NO,-0.134,,"No, score=-0.134 tagged_above=-999 required=5 tests=[AWL=0.370, BAYES_00=-2.599, HELO_EQ_NL=0.55, HOST_EQ_NL=1.545]",False,-1.0,False,0.49999999999999784
26,,NO,-4.248,,"No, score=-4.248 tagged_above=-999 required=5 tests=[AWL=-0.064, BAYES_40=-0.185, RCVD_IN_DNSWL_MED=-4]",False,0.0,False,0.49999999999999784
27,<CAOuvq23GToHnsfVa_QfU_h-=gASW3FugNgSP6P-AKg2HSgQAVg@mail.gmail.com>,NO,-102.977,,"No, score=-102.977 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, RCVD_IN_DNSWL_LOW=-1, USER_IN_WHITELIST=-100]",False,-0.9,False,0.49999999999999784
