imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<45CB68BB.4050809@isoc.org>,,0.0 (/),,,False,3.2,False,0.49999999999999784
2,<45CC28C2.2020909@zurich.ibm.com>,,0.0 (/),,,False,0.5,False,0.16528121032310528
3,<45FEB07E.7090005@isoc.org>,,0.0 (/),,,False,0.8,False,0.040864155933522446
4,<45FEBEF9.6070208@levkowetz.com>,,0.1 (/),,,False,-2.0,False,0.49999999999999784
5,<200703191711.l2JHBWQG007060@bright.research.att.com>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
6,<45FEDB3D.8010003@zurich.ibm.com>,,0.0 (/),,,False,1.7,False,0.49999999999999784
7,<45FF8E5F.3020106@isoc.org>,,0.0 (/),,,False,0.8,False,0.49999999999999784
8,<46010DBB.3030005@isoc.org>,,0.1 (/),,,False,0.8,False,0.49999999999999784
9,<460113BF.2060302@levkowetz.com>,,0.1 (/),,,False,-2.0,False,0.49999999999999784
10,<20070321111956.56DCB44C00A@relay3.r3.iad.emailsrvr.com>,,0.6 (/),,,False,4.2,False,0.15960297761042466
11,<46019137.6030407@isoc.org>,,0.0 (/),,,False,0.8,False,0.49999999999999784
12,<4602256A.7060802@zurich.ibm.com>,,0.0 (/),,,False,1.7,False,0.49999999999999784
13,<46022927.4050702@isoc.org>,,0.0 (/),,,False,0.8,False,0.16528121032310528
14,<4602339B.3020105@levkowetz.com>,,0.1 (/),,,False,-2.0,False,0.49999999999999784
15,<20070322005210.Q19041@hiroshima.bogus.com>,,-2.6 (--),,,False,-0.1,False,0.49999999999999784
16,<46023A61.6080102@zurich.ibm.com>,,0.5 (/),,,False,1.7,False,0.49999999999999784
17,<4602A75D.8030000@levkowetz.com>,,0.1 (/),,,False,-2.0,False,0.49999999999999784
18,<BEA355746C655247BF9AB077117F9EE0043C6447@stntexch15.cis.neustar.com>,,-2.8 (--),,,False,-1.8,False,0.49999999999999784
19,<20070322203847.7D6A2451EBC@relay1.r1.iad.emailsrvr.com>,,0.6 (/),,,False,4.2,False,0.15960297761042466
20,<46038810.7010304@isoc.org>,,0.0 (/),,,False,1.8,False,0.16528121032310528
21,<E1HUijO-0006BJ-AG@megatron.ietf.org>,,0.1 (/),,,False,1.4,False,0.03624164767921282
22,<E1HUijO-0006Bl-CY@megatron.ietf.org>,,0.1 (/),,,False,1.4,False,0.16528121032310528
23,<462F6E2E.7050606@isoc.org>,,0.1 (/),,,False,4.3,False,0.16528121032310528
24,<462F6F99.7080407@levkowetz.com>,,0.0 (/),,,False,1.7,False,0.49999999999999784
25,<462F7187.5020801@zurich.ibm.com>,,0.0 (/),,,False,1.7,False,0.03624164767921282
26,<E1Hgk2J-0007kn-M9@megatron.ietf.org>,,0.1 (/),,,False,1.4,False,0.0013544535559484522
27,<BEA355746C655247BF9AB077117F9EE0043C6795@stntexch15.cis.neustar.com>,,-2.8 (--),,,False,-1.8,False,0.006803068167124697
28,<36716ACD-BC89-4BF9-B4A6-B2890BACAE4D@cisco.com>,,0.1 (/),,,False,-1.6,False,0.22737794128918348
29,<470C13AF-E600-47F0-84AB-56FFB99E3431@nokia.com>,,0.1 (/),,,False,-1.8,False,0.016182055177790217
30,<200704252041.l3PKfwpg024545@bright.research.att.com>,,0.0 (/),,,False,-0.8,False,0.15960297761042466
31,<46307D7E.4030508@isoc.org>,,0.1 (/),,,False,4.3,False,0.49999999999999784
32,<7915F359-D478-4222-9A9A-0D8ADDFF9928@nokia.com>,,0.0 (/),,,False,-1.8,False,0.016182055177790217
33,<463201F5.8080103@isoc.org>,,0.0 (/),,,False,4.3,False,0.03772805476376381
34,<46320800.2090907@isoc.org>,,0.1 (/),,,False,4.3,False,0.03772805476376381
35,<46320A00.1050100@isoc.org>,,0.9 (/),,,True,5.3,False,0.007390967572566423
36,<46321264.5020807@isoc.org>,,0.0 (/),,,False,4.3,False,0.16528121032310528
37,<463221FF.9030405@isoc.org>,,0.0 (/),,,False,4.3,False,0.49999999999999784
38,<46322437.4090002@isoc.org>,,0.9 (/),,,True,5.3,False,0.007390967572566423
39,<E1HhW2k-0006vu-9C@megatron.ietf.org>,,1.8 (+),,,False,1.4,False,0.0013544535559484522
40,<463268A3.2060603@levkowetz.com>,,-2.3 (--),,,False,-2.0,False,0.49999999999999784
41,<200704281448.l3SEmdxM005688@bright.research.att.com>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
42,<46339775.6040008@isoc.org>,,0.1 (/),,,False,4.3,False,0.49999999999999784
43,<4635A26E.4080309@zurich.ibm.com>,,0.0 (/),,,False,0.4,False,0.03624164767921282
44,<BEA355746C655247BF9AB077117F9EE0043C6822@stntexch15.cis.neustar.com>,,-2.7 (--),,,False,-1.8,False,0.49999999999999784
45,<E1HirT8-0002e7-0j@megatron.ietf.org>,,0.0 (/),,,False,1.4,False,0.49999999999999784
46,<E1Hiz2d-0006ie-IH@megatron.ietf.org>,,0.0 (/),,,False,1.4,False,0.007090971233707393
47,<BEA355746C655247BF9AB077117F9EE0043C684E@stntexch15.cis.neustar.com>,,-2.7 (--),,,False,-1.8,False,0.49999999999999784
48,<BEA355746C655247BF9AB077117F9EE0043C686D@stntexch15.cis.neustar.com>,,-2.7 (--),,,False,-1.8,False,0.49999999999999784
49,<465C55F4.90808@isoc.org>,,0.0 (/),,,False,4.3,False,0.03772805476376381
50,<BEA355746C655247BF9AB077117F9EE0043C6C2F@stntexch15.cis.neustar.com>,,-2.8 (--),,,False,-1.8,False,0.006803068167124697
51,<465C56A7.4000006@levkowetz.com>,,-2.8 (--),,,False,-2.0,False,0.49999999999999784
52,<D09013AF-47B9-4515-895B-BA6D8D9D27CD@nokia.com>,,0.0 (/),,,False,-0.7,False,0.016182055177790217
53,<20070530052356.A84329@hiroshima.bogus.com>,,-2.8 (--),,,False,-0.8,False,0.49999999999999784
54,<465D733E.3040700@gmail.com>,,0.0 (/),,,False,2.6,False,0.49999999999999784
55,<8D2A474D-F6FB-4064-9983-8736B05186FA@cisco.com>,,0.0 (/),,,False,-1.6,False,0.49999999999999784
56,<465E60F1.6030706@gmail.com>,,0.0 (/),,,True,6.1,False,0.49999999999999784
57,<4669363D.4040904@isoc.org>,,0.0 (/),,,False,4.3,False,0.49999999999999784
58,<4669616F.20607@isoc.org>,,0.9 (/),,,False,1.8,False,0.007390967572566423
59,<46696680.9050005@isoc.org>,,0.0 (/),,,False,0.8,False,0.03772805476376381
60,<4669673C.8060009@gmail.com>,,0.0 (/),,,True,6.1,False,0.49999999999999784
61,<46699D40.1010906@isoc.org>,,0.0 (/),,,False,0.8,False,0.49999999999999784
62,<4669A300.3070606@isoc.org>,,0.0 (/),,,False,0.8,False,0.49999999999999784
63,<467272F8.7010407@isoc.org>,,0.0 (/),,,True,5.3,False,0.49999999999999784
64,<4672AE9D.1070905@isoc.org>,,0.0 (/),,,False,4.3,False,0.16528121032310528
65,<46929275.3090703@isoc.org>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
66,<46967CF7.9020102@levkowetz.com>,,-2.8 (--),,,False,-2.0,False,0.49999999999999784
67,<4697B894.50105@levkowetz.com>,,-2.8 (--),,,False,-2.0,False,0.49999999999999784
68,<740251171-1184351287-cardhu_decombobulator_blackberry.rim.net-682076502-@bxe107.bisx.prod.on.blackberry>,,0.3 (/),,,False,-0.5,False,0.49999999999999784
69,<46A52666.20302@isoc.org>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
70,<DA61C64A-B856-4EDC-8A4E-0334EA5349B0@cisco.com>,,-4.0 (----),,,False,-1.6,False,0.49999999999999784
71,<2C9AA86BEC0D4B4ABBD55350FD743854026F1C68@stntexch14>,,0.0 (/),,,False,-1.8,False,0.15960297761042466
72,<46A9239F.8050503@isoc.org>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
73,<46A9E4F9.9020909@gmail.com>,,0.0 (/),,,False,2.6,False,0.49999999999999784
74,<200707271311.l6RDBQLI006749@bright.research.att.com>,,-0.0 (/),,,False,-0.8,False,0.49999999999999784
75,<1970080626-1185560883-cardhu_decombobulator_blackberry.rim.net-456132241-@bxe009.bisx.prod.on.blackberry>,,2.8 (++),,,False,0.2,False,0.03481168340193519
76,<46B88D5B.8060600@isoc.org>,,0.0 (/),,,False,-0.8,False,0.16528121032310528
77,<E1IRrFB-0002YC-Cg@megatron.ietf.org>,,0.0 (/),,,True,5.0,False,0.03624164767921282
78,<E1ITkdq-0005Bn-6c@megatron.ietf.org>,,0.0 (/),,,True,5.0,False,0.007090971233707393
79,<46F29406.1060309@isoc.org>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
80,<470C9BF6.9050901@isoc.org>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
81,<E1IiWWY-0005ts-V3@megatron.ietf.org>,,0.0 (/),,,True,5.0,False,0.007090971233707393
82,<E1IirjH-0005SE-14@megatron.ietf.org>,,0.0 (/),,,True,5.0,False,0.49999999999999784
83,<200710191430.l9JEUh0n009786@bright.research.att.com>,,-0.0 (/),,,False,-0.8,False,0.49999999999999784
84,<E1IitIn-0005eC-8e@megatron.ietf.org>,,0.0 (/),,,True,5.0,False,0.49999999999999784
85,<4718E084.9090500@levkowetz.com>,,-1.4 (-),,,False,-2.0,False,0.49999999999999784
86,<4730D95C.1020902@isoc.org>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
87,<E1Iq9kB-0002Lc-1o@megatron.ietf.org>,,0.0 (/),,,True,5.0,False,0.007090971233707393
88,<7E4AE77F3AB06645A401B77E8068DFE40DEFA2@STNTEXCH12.cis.neustar.com>,,0.0 (/),,,False,-1.8,False,0.03481168340193519
89,<47348A76.9020805@isoc.org>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
90,<470CC324.30504@ericsson.com>,,-1.0 (-),,,False,1.7,False,0.49999999999999784
91,<47189587.1000104@ericsson.com>,,-1.0 (-),,,False,1.7,False,0.49999999999999784
92,<A5A163C1-9004-40B9-A66B-4D6883E95FFC@cisco.com>,,-4.0 (----),,,False,-1.6,False,0.49999999999999784
93,<4741AB93.7060003@isoc.org>,,0.0 (/),,,False,0.2,False,0.03772805476376381
94,<7F342A4F-1DE8-4EE1-9CE2-2CF2B6396485@cisco.com>,,0.0 (/),,,False,0.9,False,0.49999999999999784
95,<474F4621.6000605@isoc.org>,,0.0 (/),,,False,-0.8,False,0.03772805476376381
96,<C6876C4C-84C8-491F-891A-A4E28714848B@cisco.com>,,0.0 (/),,,False,-1.6,False,0.49999999999999784
97,<474F5219.5050203@isoc.org>,,0.0 (/),,,False,-0.8,False,0.03772805476376381
98,<4750FF8F.2060903@levkowetz.com>,,-1.4 (-),,,False,-2.0,False,0.5476769105405007
99,<1489B952-7850-4596-B6B2-6739AD96DEB1@cisco.com>,,0.0 (/),,,False,-1.6,False,0.49999999999999784
100,<4761A6D2.9070905@isoc.org>,,0.0 (/),,,False,0.2,False,0.03772805476376381
101,<E1J4ewb-0000j8-V5@megatron.ietf.org>,,0.0 (/),,,True,5.0,False,0.007090971233707393
102,<47825AD3.4070900@isoc.org>,,0.0 (/),,,False,-0.8,False,0.16528121032310528
103,<478793C3.7010103@isoc.org>,,0.0 (/),,,False,0.2,False,0.49999999999999784
104,<47879BB6.50402@levkowetz.com>,,-1.4 (-),,,False,-2.0,False,0.49999999999999784
105,<478B7B9F.8080609@isoc.org>,,0.0 (/),,,False,0.2,False,0.03772805476376381
106,<478BBFE2.5060308@gmail.com>,,0.0 (/),,,False,-0.6,False,0.49999999999999784
107,<47913B3C.6040304@isoc.org>,,0.0 (/),,,False,-0.8,False,0.49999999999999784
108,<283DD9BB-9CD5-42BD-A850-340E7CE498DB@nokia.com>,NO,1.023,*,"No, score=1.023 tagged_above=-999 required=5 tests=[AWL=3.622,  BAYES_00=-2.599]",False,-1.8,False,0.49999999999999784
109,<47AC7A41.3040909@isoc.org>,NO,-1.3,,"No, score=-1.3 tagged_above=-999 required=5 tests=[AWL=0.299, BAYES_00=-2.599, HTML_MESSAGE=1]",False,-0.8,False,0.49999999999999784
110,<20080211212742.81B0628C15F@core3.amsl.com>,NO,-0.481,,"No, score=-0.481 tagged_above=-999 required=5 tests=[AWL=-1.044, BAYES_00=-2.599, FH_RELAY_NODNS=1.451, HELO_MISMATCH_ORG=0.611, HTML_MESSAGE=1, RDNS_NONE=0.1]",True,5.0,False,0.03624164767921282
111,<20090211193157.2842F3A6A4D@core3.amsl.com>,NO,-99.999,,"No, score=-99.999 tagged_above=-999 required=5 tests=[BAYES_50=0.001, USER_IN_WHITELIST=-100]",False,3.8,False,0.03624164767921282
112,<49933F96.8000703@piuha.net>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,0.5,False,0.49999999999999784
113,<49934019.9060502@levkowetz.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
114,<20090211212748.4B8EE3A6804@core3.amsl.com>,NO,-102.539,,"No, score=-102.539 tagged_above=-999 required=5 tests=[AWL=0.060, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,3.8,False,0.49999999999999784
115,<49934E69.8040104@piuha.net>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,0.5,False,0.49999999999999784
116,<ca722a9e0902111431s63476ddfncba0b95538e5a768@mail.gmail.com>,NO,-2.415,,"No, score=-2.415 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, SARE_OBFU_SPLIT_HR2=0.183]",False,0.1,False,0.49999999999999784
