imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<9202052314.AA15432@ap.nisd.cam.unisys.com>,,,,,False,2.1,False,0.00024698759636400435
2,<9202060028.AA18150@wdl1.wdl.loral.com>,,,,,False,0.8,False,3.2110092808415216e-10
3,<9202062036.AA06216@wdl1.wdl.loral.com>,,,,,False,1.6,False,0.29810656147922576
4,<9202131929.AA14450@postman.osf.org>,,,,,False,-0.0,False,0.49999999999999784
5,<9202172002.AB26548@wdl50.wdl.loral.com>,,,,,False,0.8,False,5.5227595978169856e-05
6,<9202212136.AA04754@wdl1.wdl.loral.com>,,,,,False,0.8,False,7.301203498761207e-11
7,<9203061354.AA03175@trwacs>,,,,,False,0.8,False,6.448406081523186e-10
8,<9203061756.AA24632@hansen1.ncd.com>,,,,,False,0.8,False,1.693196904890902e-06
9,<9203070137.AA24090@hpcvxkb.cv.hp.com>,,,,,False,0.8,False,1.1826603280226741e-09
10,<9203091616.AA20907@SCTC.COM>,,,,,False,-0.0,False,1.0642386445474074e-06
11,<9203182316.AA27544@wdl50.wdl.loral.com>,,,,,False,2.1,False,3.04649745399766e-12
12,<9204011926.AA28893@mbunix.mitre.org>,,,,,False,0.8,False,0.06239215639775323
13,<9204021927.AA04352@eperm.wpd.sgi.com>,,,,,False,0.8,False,7.888716517274567e-08
14,<9204061325.AA26783@smiley.mitre.org>,,,,,False,0.8,False,0.0013457555370131906
15,<9204071811.AA00693@eperm.wpd.sgi.com>,,,,,False,0.8,False,7.888716517274567e-08
16,<9204081526.AA02019@wdl1.wdl.loral.com>,,,,,False,0.0,False,0.0033434793313419885
17,<9204082112.AA08892@wdl1.wdl.loral.com>,,,,,False,2.0,False,5.9123683633104454e-05
18,<9204091817.AA03504@eacces.wpd.sgi.com>,,,,,False,0.8,False,3.7803065401746624e-08
19,<9204110048.AA01839@marduk.Sun.COM>,,,,,False,0.8,True,0.9936522466657707
20,<9204131223.AA26684@travis.csd.harris.com>,,,,,False,0.8,False,0.17174233407350573
21,<9204131415.AA27749@wdl1.wdl.loral.com>,,,,,False,-0.0,False,0.001371776553565503
22,<9204131619.AA02406@marduk.Sun.COM>,,,,,False,0.8,False,0.020923504212571355
23,<9204141447.AA15723@wdl50.wdl.loral.com>,,,,,False,2.1,False,4.037271631998731e-09
24,<9204141558.AA09366@eacces.wpd.sgi.com>,,,,,False,2.4,False,7.888716517274567e-08
25,<9204201815.AA14454@eacces.wpd.sgi.com>,,,,,False,0.8,False,4.4404190625533745e-08
26,<9204241756.AA01748@smiley.mitre.org>,,,,,False,0.8,False,0.003656737227047473
27,<9204241840.AA29519@wdl1.wdl.loral.com>,,,,,False,-0.0,False,0.5597573586688765
28,<9204241853.AA18628@eacces.wpd.sgi.com>,,,,,False,0.8,False,2.524673813545183e-07
29,<9204241857.AA02396@smiley.mitre.org>,,,,,False,0.8,False,0.03481168340193519
30,<9204241905.AA18659@eacces.wpd.sgi.com>,,,,,False,3.3,False,0.001299156153328721
31,<9204241856.AA21326@pyrps5.eng.pyramid.com>,,,,,False,2.6,True,0.9999442666982407
32,<9204271511.AA10414@wdl1.wdl.loral.com>,,,,,False,0.8,False,1.866803725116194e-09
33,<9204271602.AA19884@eacces.wpd.sgi.com>,,,,,False,0.8,False,0.34320770450848825
34,<9204271605.AA19897@eacces.wpd.sgi.com>,,,,,False,0.8,False,7.888716517274567e-08
35,<9204302249.AA22951@eacces.wpd.sgi.com>,,,,,False,0.8,False,8.910283483791313e-06
36,<9204302259.AA22963@eacces.wpd.sgi.com>,,,,,False,0.8,True,0.9341672148859326
37,<9205010056.AA10090@hpesf.cup.hp.com>,,,,,False,1.6,False,0.00019183965424848472
38,<9205012138.AA23859@eacces.wpd.sgi.com>,,,,,False,0.8,False,8.910283483791313e-06
39,<9205051900.AA10065@easynet.crl.dec.com>,,,,,False,0.8,False,9.474443633435712e-07
40,<9205142123.AA22560@smiley.mitre.org>,,,,,False,0.8,False,0.005018508166744422
41,<9205192034.AA26925@smiley.mitre.org>,,,,,False,0.8,False,0.0008813256253235162
42,<9205201333.AA27890@mbunix.mitre.org>,,,,,False,1.9,False,0.019201356080469554
43,<9205252353.AA04897@smiley.mitre.org>,,,,,False,0.8,False,0.15960297761042466
44,<9205261921.AA29072@mbunix.mitre.org>,,,,,False,1.9,False,0.010257684270367618
45,<9205301456.AA11833@wdl1.wdl.loral.com>,,,,,False,2.0,False,5.910071815535065e-07
46,<9205301921.AA14709@wdl1.wdl.loral.com>,,,,,False,0.8,False,2.276308800990881e-10
47,<199206012123.AA03829@sparky.IMD.Sterling.COM>,,,,,False,0.8,False,0.012462304247583194
48,<9206091445.AA18003@smiley.mitre.org>,,,,,False,0.8,False,0.0048288521718323615
49,<9206101322.AA10547@smiley.mitre.org>,,,,,False,0.8,False,0.0026523706284704357
50,<9206112138.AA14578@wdl1.wdl.loral.com>,,,,,False,0.8,False,6.582208942805266e-10
51,<9206122127.AA21118@SCTC.COM>,,,,,False,-0.0,False,8.258009152426972e-09
52,<9206180246.AA06019@smiley.mitre.org.stc>,,,,,False,0.8,False,8.924186115824909e-05
53,<9206231316.AA08362@smiley.mitre.org.stc>,,,,,False,0.8,False,0.15960297761042466
54,<9206291938.AA09868@smiley.mitre.org.stc>,,,,,False,0.8,False,1.1017315481073784e-07
55,<9207011729.AA01640@smiley.mitre.org.stc>,,,,,False,0.8,False,0.0016541364653208802
56,<9207061347.AA01743@smiley.mitre.org.stc>,,,,,False,0.8,False,0.6507071206102908
57,<00105.2793284485.1899@qmgate.mitre.org>,,,,,False,0.8,False,0.4451672028170002
