imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<9203101955.AA14586@mojo.ots.utexas.edu>,,,,,False,-0.0,False,1.0953519935225441e-13
2,<9203131659.AA16475@ftp.com>,,,,,False,-0.0,False,3.349512940512761e-05
3,<9204071430.AA24355@Xylogics.COM>,,,,,False,2.4,False,1.0220957041192852e-07
4,<9204071517.AA06886@mojo.ots.utexas.edu>,,,,,False,0.0,False,8.960021202331488e-14
5,<9204131544.AA09131@Xylogics.COM>,,,,,False,2.4,True,0.9996448351543853
6,<9204271950.AA12110@Xylogics.COM>,,,,,False,2.4,True,0.9999752634828136
7,<9205041943.AA22784@Xylogics.COM>,,,,,False,2.4,False,0.01759467815391663
8,<9205042012.AA15937@phoebus.nisc.sri.com>,,,,,False,0.8,True,0.9808674542680111
9,<9205042025.AA32386@Xylogics.COM>,,,,,False,2.4,True,0.9999985289375778
10,<9205042212.AA00937@akamai.isi.edu>,,,,,False,-0.0,False,5.1503173465971667e-17
11,<9205270726.AA00225@Xylogics.COM>,,,,,False,1.8,True,0.9971323474081677
12,<9205271647.AA09665@Xylogics.COM>,,,,,False,2.4,False,0.09544059068258257
13,<9205280610.AA12597@Xylogics.COM>,,,,,False,1.8,False,0.5975656536691782
14,<9207072236.AA25100@mojo.ots.utexas.edu>,,,,,False,0.0,False,3.3584380513285435e-13
15,<9207150501.AA14445@Xylogics.COM>,,,,,False,2.4,False,9.594853142759184e-07
16,<9207270640.AA13115@Xylogics.COM>,,,,,False,0.8,False,0.49999999999999784
17,<30659.199207302202@atlas.xylogics.com>,,,,,False,-0.0,False,0.0019238934098884488
18,<9207302240.AA11508@phoebus.nisc.sri.com>,,,,,False,0.8,False,0.005673272794925982
19,<11457.199207311803@atlas.xylogics.com>,,,,,False,-0.0,False,0.6261010428812641
20,<9207311805.AA18119@phoebus.nisc.sri.com>,,,,,False,0.8,False,0.057264059922165954
21,<9207312204.AA06552@mojo.ots.utexas.edu>,,,,,False,-0.0,False,0.006803068167124697
22,<22243.199208030610@atlas.xylogics.com>,,,,,False,1.8,False,0.8884973710812579
23,<737.199208041627@atlas.xylogics.com>,,,,,False,-0.0,False,1.932786806109854e-05
24,<5216.199208261804@atlas.xylogics.com>,,,,,False,-0.0,False,0.2567553820219035
25,<9208271548.AA00952@phoebus.nisc.sri.com>,,,,,False,0.8,False,0.00014443836900570987
26,<21548.199209012006@atlas.xylogics.com>,,,,,False,-0.0,False,4.7081371111143373e-07
27,<2792.199209012108@atlas.xylogics.com>,,,,,False,-0.0,False,6.598227875383927e-10
28,<4375.199209141808@atlas.xylogics.com>,,,,,False,-0.0,False,4.873258423792969e-05
29,<27391.199209161739@atlas.xylogics.com>,,,,,False,-0.0,False,0.0001307314841356337
30,<9209161939.AA09660@jessica.stanford.edu>,,,,,False,2.0,False,3.700831178116649e-14
31,<14773.199209170629@atlas.xylogics.com>,,,,,False,1.8,False,7.58999320474721e-07
32,<26162.199209171911@atlas.xylogics.com>,,,,,False,-0.0,False,2.357489802524102e-09
33,<32239.199209251801@atlas.xylogics.com>,,,,,False,-0.0,False,2.637763534756425e-09
34,<14633.199210021706@atlas.xylogics.com>,,,,,False,-0.0,False,4.76708893669605e-10
35,<4419.199210271535@atlas.xylogics.com>,,,,,False,-0.0,False,8.820663257598315e-08
36,<8671.199211031731@atlas.xylogics.com>,,,,,False,-0.0,False,0.004508556195255753
37,<9211092012.AA17337@phoebus.nisc.sri.com>,,,,,False,0.8,False,0.49999999999999784
38,<9211112111.AA18747@mojo.ots.utexas.edu>,,,,,False,-0.0,False,9.63195172183844e-11
39,<8422.199211180128@atlas.xylogics.com>,,,,,False,0.0,False,4.093290404518743e-07
