imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<B0D29E0424F2DE47A0B36779EC666779257D993D@nkgeml501-mbs.china.huawei.com>,NO,-106.598,,"No, score=-106.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.001299156153328721
2,<20130905165518.23037.96278.idtracker@ietfa.amsl.com>,NO,-102.986,,"No, score=-102.986 tagged_above=-999 required=5 tests=[AWL=-0.386, BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
3,<B0D29E0424F2DE47A0B36779EC666779257D9FB1@nkgeml501-mbs.china.huawei.com>,NO,-106.598,,"No, score=-106.598 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.006803068167124697
4,<4A95BA014132FF49AE685FAB4B9F17F645BAEDCE@dfweml509-mbx.china.huawei.com>,NO,-4.108,,"No, score=-4.108 tagged_above=-999 required=5 tests=[BAYES_05=-1.11, EXTRA_MPART_TYPE=1, HTML_IMAGE_RATIO_06=0.001, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4]",False,0.3,False,0.15960297761042466
5,<522E0FB4.6090306@nomountain.net>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
6,<B8F9A780D330094D99AF023C5877DABA43BFA229@nkgeml501-mbs.china.huawei.com>,NO,-5.999,,"No, score=-5.999 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, J_CHICKENPOX_93=0.6, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.15960297761042466
7,<522EE98D.4040109@kddilabs.jp>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
8,<522F6119.3050901@gmail.com>,NO,-2.299,,"No, score=-2.299 tagged_above=-999 required=5 tests=[AWL=-0.300, BAYES_00=-2.599, J_CHICKENPOX_93=0.6]",False,-1.9,False,0.49999999999999784
9,<4A95BA014132FF49AE685FAB4B9F17F645BB81BF@dfweml509-mbb.china.huawei.com>,NO,-5.612,,"No, score=-5.612 tagged_above=-999 required=5 tests=[AWL=0.387, BAYES_00=-2.599, J_CHICKENPOX_93=0.6, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
10,<B0D29E0424F2DE47A0B36779EC666779257F9536@nkgeml501-mbs.china.huawei.com>,NO,-106.599,,"No, score=-106.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.15960297761042466
11,<B8F9A780D330094D99AF023C5877DABA43BFD8C0@nkgeml501-mbs.china.huawei.com>,NO,-6.539,,"No, score=-6.539 tagged_above=-999 required=5 tests=[AWL=0.060, BAYES_00=-2.599, RCVD_IN_DNSWL_MED=-4]",False,-2.0,False,0.49999999999999784
12,<1783683.ptHy5NI9HW@nordmarka.simula.nornet>,NO,-0.998,,"No, score=-0.998 tagged_above=-999 required=5 tests=[BAYES_50=0.001, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
13,<3345501.bu0LFJoG3F@nordmarka.simula.nornet>,NO,-2.248,,"No, score=-2.248 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, HELO_EQ_DE=0.35, HTML_MESSAGE=0.001]",False,-2.0,False,0.5720890902329775
14,<B0D29E0424F2DE47A0B36779EC666779257FBB7A@nkgeml501-mbs.china.huawei.com>,NO,-106.599,,"No, score=-106.599 tagged_above=-999 required=5 tests=[AWL=-0.001, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
