imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<503267EE.2070600@cs.tcd.ie>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
2,<20120820171244.8440.34946.idtracker@ietfa.amsl.com>,NO,-102.899,,"No, score=-102.899 tagged_above=-999 required=5 tests=[AWL=-0.300, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
3,<5B68A271B9C97046963CB6A5B8D6F62C3A56FDE5@SOTTEXCH10.corp.ad.entrust.com>,NO,-2.164,,"No, score=-2.164 tagged_above=-999 required=5 tests=[AWL=0.434, BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,-2.0,False,0.7001617770386719
4,<13205C286662DE4387D9AF3AC30EF456D781D92FFB@EMBX01-WF.jnpr.net>,NO,-106.552,,"No, score=-106.552 tagged_above=-999 required=5 tests=[AWL=0.046, BAYES_00=-2.599, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_MED=-4, USER_IN_WHITELIST=-100]",False,-2.0,False,0.7001617770386719
5,<5B68A271B9C97046963CB6A5B8D6F62C3A5704A6@SOTTEXCH10.corp.ad.entrust.com>,NO,-2.229,,"No, score=-2.229 tagged_above=-999 required=5 tests=[AWL=0.369, BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,-2.0,False,0.49999999999999784
6,<5B68A271B9C97046963CB6A5B8D6F62C3A5706D0@SOTTEXCH10.corp.ad.entrust.com>,NO,-2.275,,"No, score=-2.275 tagged_above=-999 required=5 tests=[AWL=0.323, BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,-2.0,False,0.49999999999999784
7,<5B68A271B9C97046963CB6A5B8D6F62C3A570712@SOTTEXCH10.corp.ad.entrust.com>,NO,-2.311,,"No, score=-2.311 tagged_above=-999 required=5 tests=[AWL=0.287, BAYES_00=-2.599, HTML_MESSAGE=0.001]",False,-2.0,False,0.49999999999999784
8,<50353DC9.7010905@cs.tcd.ie>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
9,<50354208.3070902@cs.tcd.ie>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
10,<5B68A271B9C97046963CB6A5B8D6F62C3A571AAD@SOTTEXCH10.corp.ad.entrust.com>,NO,-2.34,,"No, score=-2.34 tagged_above=-999 required=5 tests=[AWL=0.259, BAYES_00=-2.599]",False,-2.0,False,0.49999999999999784
11,<E6E20341-A5FD-4BC6-9D5A-A8380C727B8D@amalfisystems.com>,NO,-2.599,,"No, score=-2.599 tagged_above=-999 required=5 tests=[AWL=0.001, BAYES_00=-2.599]",True,5.1,False,0.49999999999999784
12,<50354DA8.4080501@ssc.lt>,NO,-1.49,,"No, score=-1.49 tagged_above=-999 required=5 tests=[AWL=1.110, BAYES_00=-2.599]",False,-2.0,False,0.16528121032310528
13,<370C9BEB4DD6154FA963E2F79ADC6F2E1F21A6@DEN-EXDDA-S11.corp.ebay.com>,NO,-9.037,,"No, score=-9.037 tagged_above=-999 required=5 tests=[AWL=0.079, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_HI=-8]",False,-0.8,False,0.49999999999999784
14,<50355125.7080004@cs.tcd.ie>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-1.9,False,0.49999999999999784
