imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20121127220248.15567.73084.idtracker@ietfa.amsl.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
2,<CAFPxG+JwM9M1d50WfM384G6kYMHHsxQbi5cYUQcR7SYQ9o2T8A@mail.gmail.com>,NO,-0.376,,"No, score=-0.376 tagged_above=-999 required=5 tests=[BAYES_50=0.001, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-1.0,False,0.49999999999999784
3,<CAFPxG++ZvhUbU1ZSgjWJNx0CCdsThZN=NeoZ=rgTyD4Ht1f+-g@mail.gmail.com>,NO,-1.676,,"No, score=-1.676 tagged_above=-999 required=5 tests=[AWL=1.300, BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-1.0,False,0.49999999999999784
4,<50C9E5EE.9010306@levkowetz.com>,NO,-102.6,,"No, score=-102.6 tagged_above=-999 required=5 tests=[AWL=0.000, BAYES_00=-2.599, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
5,<CAFPxG+J3B1QjER7AC_HoK5JD2AHXWprUjr_CQQUTbd8mROXNRA@mail.gmail.com>,NO,-1.582,,"No, score=-1.582 tagged_above=-999 required=5 tests=[AWL=-0.094, BAYES_05=-1.11, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-1.0,False,0.49999999999999784
6,<50CB8038.8050908@levkowetz.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=-0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
7,<50CB8267.7010709@levkowetz.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
8,<CAFPxG+KCCF=ndvT2RNY-fhQeER62N5xngYV-xRDd1rULob-pyQ@mail.gmail.com>,NO,-0.376,,"No, score=-0.376 tagged_above=-999 required=5 tests=[BAYES_50=0.001, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-1.0,False,0.49999999999999784
9,<50D8ED21.5020703@levkowetz.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
10,<CAFPxG+J2kpWb1+C5t1WiPJRZ=x+VFATSC9QOqRRDnAWuStHQuA@mail.gmail.com>,NO,-1.676,,"No, score=-1.676 tagged_above=-999 required=5 tests=[AWL=1.300, BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-1.0,False,0.49999999999999784
11,<CAFPxG+K74HB2Rw7c4UBk-B3N1jkDVO1s0FiA31PnP7sNMU0Jhg@mail.gmail.com>,NO,-2.326,,"No, score=-2.326 tagged_above=-999 required=5 tests=[AWL=0.650, BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-1.0,False,0.49999999999999784
12,<CAFPxG+K3maTyJvtkZnQhSs9X+o1b7aiKOPK9TgMWyDNooteyrA@mail.gmail.com>,NO,-2.543,,"No, score=-2.543 tagged_above=-999 required=5 tests=[AWL=0.433, BAYES_00=-2.599, FM_FORGED_GMAIL=0.622, HTML_MESSAGE=0.001, RCVD_IN_DNSWL_LOW=-1]",False,-1.0,False,0.49999999999999784
13,<50E1B636.5040604@levkowetz.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
14,<50E1B794.9080301@levkowetz.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
15,<50F513A3.9090709@yaco.es>,NO,-3.299,,"No, score=-3.299 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, MIME_8BIT_HEADER=0.3, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
16,<50F529EE.2030902@levkowetz.com>,NO,-102.3,,"No, score=-102.3 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, MIME_8BIT_HEADER=0.3, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
