imap_uid,mid,header_flag,header_score,header_level,header_status,SA_flag,SA_score,AS_flag,AS_score
1,<20101013220044.0C0DE3A69DF@core3.amsl.com>,,,,,False,-0.8,False,0.49999999999999784
2,<4D667BDF.9030602@levkowetz.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[AWL=-0.000, BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
3,<4D667FAC.1010103@vpnc.org>,NO,-101.456,,"No, score=-101.456 tagged_above=-999 required=5 tests=[AWL=0.590, BAYES_00=-2.599, HELO_MISMATCH_COM=0.553, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
4,<4D668497.3070509@levkowetz.com>,NO,-103.6,,"No, score=-103.6 tagged_above=-999 required=5 tests=[AWL=1.000, BAYES_00=-2.599, GB_I_LETTER=-2, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
5,<4D6B7B31.7050302@levkowetz.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
6,<4D6B7C69.10904@levkowetz.com>,NO,-102.599,,"No, score=-102.599 tagged_above=-999 required=5 tests=[BAYES_00=-2.599, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
7,<4D6D2BB5.6070609@yaco.es>,NO,-2.817,,"No, score=-2.817 tagged_above=-999 required=5 tests=[AWL=1.000, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, GB_I_LETTER=-2, MIME_8BIT_HEADER=0.3, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
8,<4D6E1A2B.9070500@levkowetz.com>,NO,-103.45,,"No, score=-103.45 tagged_above=-999 required=5 tests=[AWL=0.850, BAYES_00=-2.599, GB_I_LETTER=-2, MIME_8BIT_HEADER=0.3, NO_RELAYS=-0.001, USER_IN_WHITELIST=-100]",False,-2.0,False,0.49999999999999784
9,<4D6F7F34.8090506@yaco.es>,NO,-2.017,,"No, score=-2.017 tagged_above=-999 required=5 tests=[AWL=-0.200, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, MIME_8BIT_HEADER=0.3, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
10,<4D6F7FC3.50607@yaco.es>,NO,-1.984,,"No, score=-1.984 tagged_above=-999 required=5 tests=[AWL=-0.167, BAYES_00=-2.599, DNS_FROM_RFC_BOGUSMX=1.482, MIME_8BIT_HEADER=0.3, RCVD_IN_DNSWL_LOW=-1]",False,-2.0,False,0.49999999999999784
